,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
PartnerID,4124835.0,3396030.2380069527,1910156.7044278665,4531674.5,3903372.7247619047,1557980.143129979,354016.0,888668.4017892644,902361.6818162665,1097499.0,1155726.3786184555,1043578.2109120019,4582150.0,4271141.085602942,1157426.5686499162,125530.5,387155.4142857143,540675.4266573145,4495234.5,4161423.5132758426,1114861.0624892605,1457271.0,1626122.0533598682,1239693.232258343
Sex,0.0,0.14433371958285052,0.35143594228073244,1.0,0.6085714285714285,0.48814740790846695,0.0,0.281245858184228,0.4496220884159767,0.0,0.3311735813564636,0.4706599517751207,0.0,0.42145357669697703,0.4937973551697282,0.0,0.3469387755102041,0.47648252802792185,0.0,0.3776239645977533,0.4847974326369183,0.0,0.3481140582729563,0.47637980377667
Age,58.0,54.93803012746234,13.358014477029702,39.0,40.35142857142857,12.14274118178777,38.0,39.45566600397614,10.846340716387196,35.0,36.414881387814816,9.622173177003269,32.0,34.44571655034237,11.34514789967922,40.0,40.90204081632653,9.66253680476525,33.0,34.320454631415714,9.762416751814161,34.0,35.846574831306945,9.764824333933529
CreditCondition,0.0,0.009872537659327926,0.15716518981243158,0.0,0.6098412698412699,1.2082986735678676,4.0,3.6684559310801856,1.6189096685805424,3.0,3.0,0.0,0.0,0.05343578678526608,0.36143862889550094,8.0,7.002040816326531,2.362365958666436,0.0,0.4525133325768751,0.7474102646562041,2.0,2.131067508318045,0.9026319300569223
LifeTimeMonth,0.0,14.579606025492469,20.008817731087582,0.0,7.691428571428571,15.525433385084144,45.0,41.38721007289596,15.430784857435498,36.0,34.67697774062076,16.45686612138641,0.0,0.5401263788282437,3.3192115681065895,57.0,53.49183673469388,9.471998053776934,0.0,3.966129581300352,9.140650622788286,28.0,29.321682888149507,16.743272823842286
SumAmountzb,15700.0,57270.71001278697,129631.17385143734,87186.0,537071.3387400793,1640988.1425692604,168628.7109375,360612.6374922664,670556.344928871,61336.30078125,125619.37625108994,196331.14040789678,4200.0,7113.065967127859,10438.612950841783,901175.90625,4657780.003890306,11367299.145014608,8000.0,18700.307128506876,43811.47551726672,37845.0,70035.53193684146,102125.72904071282
AVGAmountzb,5350.0,7957.481949359633,7489.243662126657,62510.2734375,75604.5379985119,42742.71454537287,5575.70166015625,7951.656742851808,7118.019297434071,4578.70556640625,6570.75936396915,6279.357756851876,4000.0,6411.6218432559135,6930.667756899564,9307.18017578125,21665.60101692044,32890.5916182756,4893.25,7234.682532367009,6962.152087633735,4255.466796875,5949.569074054185,5425.896333609883
ZB,2.0,8.26864426419467,13.311092131018631,1.0,7.123492063492064,19.271776904857752,29.0,43.0364479787939,43.77242943309338,12.0,18.395861636534644,15.420684148071073,1.0,1.1418349149034546,1.2504990370990183,94.0,161.22244897959183,177.78328730655195,1.0,2.6234539884261885,4.276661636773709,9.0,11.299107559314656,9.555527203804338
Good,1.0,7.618215527230591,12.725387580530274,1.0,5.842222222222222,16.665412528234718,26.0,39.75666003976143,41.15329763861308,10.0,16.245898212979412,15.072152281766828,0.0,0.38585173605759704,0.7365412599149225,91.0,143.98979591836735,156.64030767887718,1.0,1.89222360906237,3.1315406649512156,7.0,9.646475325725302,9.253940684083013
PercentGood,100.0,89.34616944621364,27.074292142653736,100.0,73.29816581669309,42.007620763843384,95.83333587646484,91.79125707155036,11.262327405880074,91.66666412353516,82.82618064109977,23.032800951067802,0.0,33.96182326381379,46.97168987138017,98.71773910522461,94.09902765507601,14.189523747689261,100.0,79.71750309654749,36.564992643713445,92.59259033203125,79.62422940045944,28.231544443447117
PromotionID,1.0,0.9324217844727694,0.2510265345008403,0.0,0.2222222222222222,0.41580571578781556,0.0,0.08230616302186879,0.27483970656895035,0.0,0.01139094994252273,0.10612432881491916,0.0,0.12853651555516413,0.3346899252058895,0.0,0.026530612244897958,0.1608712350785495,0.0,0.025208971594992247,0.15676078615262665,0.0,0.009950558164122018,0.09925649049064897
PercentNew,1.0,0.8906142393581624,0.18676302157249813,1.0,0.9213124103228507,0.17244663569289617,0.5555555555555556,0.5587698773656763,0.19742028712967635,0.7878787878787878,0.7655238989444995,0.18934364947492147,1.0,0.997563605382616,0.03167265539353044,0.5119115144639819,0.5171123628028961,0.1921715873168236,1.0,0.9479005284236862,0.13750277790837898,0.8888888888888888,0.8248332865653987,0.1964602904790626
PercentPerez,0.0,0.09409683225909644,0.1741196929623552,0.0,0.07354513323444363,0.16608482024309945,0.4444444444444444,0.4365916917538701,0.1979535689279921,0.2,0.22349737775678719,0.18795726186798764,0.0,0.0007830533650865215,0.015248908759453684,0.4878783426388481,0.48099151841809906,0.19330798806906066,0.0,0.024881479657770395,0.08745230468145977,0.0392156862745098,0.14206156680317147,0.1839923881090579
PercentOSN,0.0,0.005228924562406719,0.039967114110498116,0.0,0.00024036107327319128,0.004877957195505906,0.0,0.0022176994914152987,0.013904897118090872,0.0,0.005102583534055814,0.031258057325745256,0.0,0.0012807784796379886,0.024493745886888244,0.0,0.0010579267502506225,0.004926597168839004,0.0,0.004449886426514041,0.0429512447970344,0.0,0.011885345969201093,0.05952223727657228
PercentBuyUp,0.0,0.010060003820327675,0.06083515563602503,0.0,0.004902095369432674,0.047601654540545775,0.0,0.0024207313890388443,0.016756675687531294,0.0,0.005876139764665932,0.03332173946129622,0.0,0.0003725627726596484,0.012857104231349904,0.0,0.0008381920287542457,0.008943533848417562,0.0,0.02276810549202124,0.10034005244061583,0.0,0.021219800662220883,0.08278565209037626
AVGDneyZaloga,32.0,33.6309617612978,21.5380292134268,24.5,27.11968253968254,25.14438382634445,50.0,48.60801855533466,16.45401078127453,37.0,38.281952137109414,15.888588689263381,0.0,8.766221184966644,17.91962212048826,54.0,51.47959183673469,16.026071289566143,29.0,30.710446688603955,25.16690720013228,28.0,29.874343107683696,18.92789551361916
AVGDneySProshZB,0.0,60.171494785631516,134.68877589314297,0.0,33.44793650793651,104.3355710591814,41.0,63.66679920477137,66.988306002785,70.0,106.03960706447904,96.85060729092771,0.0,7.873841343930954,51.21699879862438,18.0,20.687755102040818,23.76182200788012,0.0,40.55300881273876,92.66995202872302,90.0,185.61208370907056,259.29249994341524
AVGWeightGross,4.835999965667725,6.836407884398037,6.1484108800356045,51.412099838256836,62.05607078014858,38.76193731356241,5.477999925613403,7.793216233888167,6.951520746824386,4.382500171661377,6.269171762129601,5.92905432237218,3.3399999141693115,5.285812990954876,5.651194605429018,8.640549659729004,20.2785297501148,29.75656053506621,4.052499771118164,6.034682086056798,5.7629461340013135,3.9700000286102295,5.544512158444803,5.078094484031908
AVGCostPerGram,1300.0,1257.3599634892364,199.35001680823243,1349.9913940429688,1322.4161808074466,325.54730121952144,1126.0015869140625,1128.2423485204192,189.84325890105453,1153.4771728515625,1147.6735925322628,190.56639168785966,1342.4656982421875,1255.9727303101733,228.56736708682948,1148.338623046875,1155.5021706016696,167.30821555130257,1339.7216186523438,1289.8774645737653,209.3063472432876,1200.4381103515625,1178.3182228379235,191.74892426608048
AVGCost,5915.0,8534.72996444543,7824.171944075663,66864.5,80098.68916201637,43693.649172575984,6110.915283203125,8704.867064701633,7814.193073711744,4970.71435546875,7188.646424628286,6902.451314841844,4172.0,6671.685611455165,7158.074093809655,9805.19482421875,23505.24595174984,35550.30174170421,5199.333251953125,7787.833573053128,7441.93442337845,4648.66650390625,6539.560850543834,6022.37591622296
AVGPercentPerDay,0.20000000298023224,0.2231561413479846,0.05907458193095566,0.30000001192092896,0.2708070827334646,0.0667091087570948,0.3181999921798706,0.3253967793711453,0.05690109917938016,0.33500000834465027,0.34332937607789865,0.05850669965103486,0.3499999940395355,0.3334208519174153,0.07343911097645735,0.30535000562667847,0.31467877532146415,0.06494702813035612,0.3499999940395355,0.34946960835782115,0.04953582901051442,0.3400000035762787,0.3488688575616875,0.07770417234115531
MINPercentPerDay,0.20000000298023224,0.19452329428972265,0.028628997325654014,0.25,0.25466032172479325,0.07075285026704443,0.25,0.25351756306141715,0.057354637772611274,0.25,0.2788044730572569,0.06506952309433066,0.3499999940395355,0.33136176431495845,0.0744167289301821,0.2199999988079071,0.22944898112696044,0.06583972603367229,0.3499999940395355,0.34238738160531224,0.056119948562890584,0.28999999165534973,0.2917413484492688,0.06959865479099624
MAXPercentPerDay,0.20000000298023224,0.26026975878558595,0.10380434329372704,0.30000001192092896,0.28908254308359965,0.07701242593860545,0.3799999952316284,0.40351424780782286,0.20123183572934833,0.38999998569488525,0.40371303041379447,0.1789109653552567,0.3499999940395355,0.33521609832782556,0.07513030224357471,0.38999998569488525,0.40710204109853626,0.16126852344232848,0.3499999940395355,0.35508982802651157,0.05141522751435698,0.38999998569488525,0.4021897431906785,0.21307538863403025
OverPayAmount,0.0,0.37632444733125725,36.14308875333088,0.0,1542.927166602725,15252.506394562482,505.27000427246094,2667.2745692625354,12218.21469603061,0.0,0.0,0.0,0.0,2.2011534862761457,87.60094731491772,1440.0,19192.13406258408,115805.12717528253,0.0,15.447209423539444,399.5798711459122,0.0,16.505525926047696,331.4112278679536
PercentAmount,0.0,4.567235695207934,65.52713432379214,0.0,127.30050809103345,1243.6681281265262,0.0,17.683027855144424,196.03743104246578,0.0,36.98300859763438,271.1880211586649,0.0,18.234429651245385,185.91470513634556,0.0,0.0,0.0,0.0,5.900704070967983,95.19357134520037,0.0,26.75915884978291,204.86526268602242
isGoodZB,1.0,0.8956199304750869,0.30576004289328373,1.0,0.7111111111111111,0.4533181399579899,1.0,0.8211398277004639,0.38324788922187764,1.0,0.7799143066151113,0.41432586299862195,0.0,0.3380303397256655,0.47304413743331464,1.0,0.9122448979591836,0.2832275657713629,1.0,0.7945459359279852,0.40403685332354733,1.0,0.7867160048508971,0.40963294589157123
BudetSledVisit3M,1.0,0.7688991888760139,0.42154651306156543,1.0,0.6333333333333333,0.48197091921986496,1.0,0.7754141815772034,0.41732310013892066,1.0,0.6656912948061449,0.4717728842071348,0.0,0.0,0.0,1.0,0.9387755102040817,0.23998664459313496,1.0,0.7908771133552707,0.40668616003083186,1.0,0.7129574924593426,0.4523886274745696
BudetSledVisit6M,1.0,0.8520509849362689,0.3550576673651236,1.0,0.693015873015873,0.4613159787675041,1.0,0.868986083499006,0.33742675555943147,1.0,0.7658062493468492,0.4235159764079815,0.0,4.4034434928113786e-05,0.006635771650006333,1.0,0.9857142857142858,0.11878732865020801,1.0,0.9121373728204546,0.2830976890936515,1.0,0.8181846450449329,0.38569827264524936
BudetSledVisit12M,1.0,0.9128157589803013,0.28211139286254344,1.0,0.741904761904762,0.43765613606523407,1.0,0.9475149105367793,0.22301053933048653,1.0,0.8782526909812938,0.3270108209629738,0.0,0.05147625443096501,0.22096951080851596,1.0,1.0,0.0,1.0,0.9908657664813344,0.09513658845954846,1.0,0.9036039677850679,0.2951381808733677
BudetSledVisit,1.0,0.940486674391657,0.2365884276099093,1.0,0.7834920634920635,0.41192974952783734,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2157907483652216,0.41137431523249934,1.0,1.0,0.0,1.0,0.999754151064715,0.015677791358876283,1.0,0.9995646630803197,0.020860511331011626
BudetPerezalog,0.0,0.28143684820393977,0.44971048738840225,0.0,0.2885714285714286,0.4531701157795837,0.0,0.41093439363817097,0.4920196748081582,0.0,0.2918800292611558,0.45465116252508997,0.0,0.0,0.0,0.0,0.4489795918367347,0.4978984255030771,0.0,0.35169635765346646,0.47750428445653603,0.0,0.26829192450013994,0.44307727580755907
labels,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,7.0,0.0
