,PartnerID,Age,CreditCondition,LombardRating,CountryID,TreasuryID,LombardCategoryID,AmountZB,Qty,TermWoutGracePeriod,WeightGross,WeightNet,WeightNet999,WeightNotBrilliant,WeightNet999Calc,Cost,CostMetal,CostPerGram,CostInsert,Proba,PromoActionID,PromotionID,CostAmount,PercentPerDay,FlagNewPartner,DneySProshZB,DoSumAmountzb,DoAVGAmountzb,DoZB,DoBad,DoSumBad,DoGood,DoPercentGood,DoSumGood,DoMaxBadPercentPerDay,DoAVGBadPercentPerDay,DoMinGoodPercentPerDay,DoAVGGoodPercentPerDay,DoQntNew,DoQntPerez,DoQntOSN,DoQntBuyUp,DoAVGDneyZaloga,DoAVGDneySProshZB,DoAVGWeightGross,DoSUMWeightGross,DoAVGWeightNet,DoSUMWeightNet,DoAVGWeightNet999,DoSUMWeightNet999,DoAVGWeightNotBrilliant,DoSUMWeightNotBrilliant,DoAVGCostPerGram,DoAVGCost,DoMaxCost,DoQntTreasury,DoAVGPercentPerDay,DoMINPercentPerDay,DoMAXPercentPerDay,OverPayAmount,PercentAmount,isGoodZB,isBadZB,BudetSledZalog,BudetPerezalog
PartnerID,1.0,-0.007255609126537515,-0.20470360357316852,-0.1269456536364776,,0.48236634017637864,0.42692699753115193,0.010617131436814739,-0.026025222603061452,-0.3337116681516286,-0.02541674882613376,-0.02699960272000145,-0.027261012763983565,0.003384736672095209,-0.027289400863442316,0.012188159022738511,0.013051755669758814,0.2951460131117095,-0.007979304257070446,-0.002206177584362325,,0.13548446900260147,0.010617131436814739,-0.03256004385563714,-0.22085637757431015,-0.0644524288030644,-0.058952967949993086,-0.03537993128957519,-0.16206436839353508,-0.07240495830822803,-0.027709468306797488,-0.15240641164492044,-0.14668857343789532,-0.08053696245321317,-0.1932800237360035,-0.2041338180617113,-0.14633861404199355,-0.18208305078543735,-0.1553581724295533,-0.10697287851395727,-0.02158789599543971,0.06224337467743906,-0.11139024456992049,-0.09727342867224288,-0.08217380621859947,-0.07591992175316124,-0.08776641469790455,-0.07659874452873187,-0.08742195311069247,-0.07481244497232849,-0.04526818594826957,-0.034268244993298114,-0.01963185383732402,-0.03332477462418084,-0.08885937523367572,-0.18672602515865466,-0.19787354614972272,-0.15691295718114182,-0.20224561516264783,-0.03849322457850614,-0.05582478315701875,-0.005125523417560783,0.005064190212113806,-0.14098822509710265,0.0015003070877360224
Age,-0.007255609126537515,1.0,0.03638053249228897,-0.15909426976599927,,0.09758703368467617,0.08492894193280355,0.04105024183283089,0.017689518481178997,-0.017424105908009985,0.030730373260131134,0.0275230027678638,0.028626724669617645,0.03770576969198885,0.028013148813599564,0.04072871478225535,0.039822546316076075,0.12607372461119504,0.021946387787541138,0.05328703635416214,,0.29781399633526584,0.04105024183283089,-0.09350684452043231,0.1445681057149023,-0.0002889316625432045,0.031627436718964015,0.07358705119554415,0.11573303537381918,0.0022770599555236738,0.005597828767503406,0.14343047986406646,0.2101081502376583,0.05222948863306131,-0.0011543519569609223,-0.008419751405425885,0.0942520631649848,0.1278355756278633,0.08543871618469422,0.11100422372391838,0.024219203260115417,0.017500702337590178,0.16783679804493143,0.03250823883123136,0.06675664688907454,0.03369434120037264,0.06640409801040052,0.03167116144452523,0.06731713270908282,0.031803267771788,0.08477347864816472,0.03977767892158001,0.1639321667260515,0.07307795943016016,0.04267731967983747,0.14321545674092598,0.0761720799379368,0.04199738269182179,0.09737829513356423,0.0020319209375253442,0.032641236666256616,0.175430295552234,-0.175420342137859,0.136533382518573,0.08457999929572231
CreditCondition,-0.20470360357316852,0.03638053249228897,1.0,0.4111215209406706,,0.13334047751278408,0.13181111901079667,0.12201061734881571,0.07878030687598649,0.12169280196451024,0.08896102412009478,0.09014985307829639,0.09000856401745494,0.025342451047025413,0.09004273709953761,0.12628426375219817,0.12630731618933758,0.29731757796281205,0.022459931019750374,0.020011233331717063,,-0.27281655224104806,0.12201061734881571,-0.04492034044334939,0.5085982585006509,0.13808039728712107,0.11503817658202097,0.2440139957568852,0.20624183316152706,0.09402435390152723,0.08554379319879375,0.19214461083268827,0.5032000338795377,0.12335883808056161,0.15533576799392096,0.17603428233338855,0.45390855348779796,0.504757779788315,0.18819356255238281,0.14859282406310909,0.009766649580447359,0.007695137613638284,0.47916746391966925,0.15124430188170068,0.23354109512671747,0.12876363685071812,0.24705570883062455,0.13187682117868343,0.24454472766701693,0.1283389533281457,0.13052369842631478,0.03881683673393058,0.4975882902499922,0.24415285815142615,0.20059281623083616,0.4026922388845411,0.42580804351388596,0.36717434786121905,0.3590625971692069,0.11190459362288852,0.0903331930339617,0.1840195035940496,-0.184079331437833,0.24522432041657166,0.1458563666373722
LombardRating,-0.1269456536364776,-0.15909426976599927,0.4111215209406706,1.0,,0.0346431043476938,0.04156807660921955,0.04719290511023766,0.014498035872906859,0.12102157633224614,0.040767556414090585,0.041100162568656375,0.041024469509658865,0.013581738452832962,0.04110830557569022,0.050405161208771275,0.0499912404134644,0.11539368558484482,0.01391440267306589,0.008362486650150729,,-0.24220268553301347,0.04719290511023766,-0.027875938814994877,0.30279983354856965,0.05968853971886678,0.03742407054742037,0.11712712600511826,0.07611368265634384,0.022672670066348957,0.026023686217055093,0.07944068885156226,0.29916196504685816,0.04846680876664519,0.08299336661641409,0.09710984569478748,0.2847128173882097,0.30084429976183513,0.06725027660898518,0.05786642839091385,0.006588298974761058,0.00211961193995603,0.28731742401289706,0.08858743790509509,0.11821217228255046,0.04551956228898819,0.12661352157616765,0.047155650793496165,0.12504818883391816,0.045527172003989945,0.058674917675217514,0.009237557957396069,0.2728762181982141,0.11681324448368387,0.0867517183810596,0.20923120093863729,0.24896811180434353,0.22903770198295334,0.19214989094384294,0.02880358906809835,0.08210580360177089,0.21009798098577023,-0.21014344991888922,0.3070020981135124,0.11958853213044976
CountryID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreasuryID,0.48236634017637864,0.09758703368467617,0.13334047751278408,0.0346431043476938,,1.0,0.8493830128269796,0.058242791705489086,-0.026589294298696886,-0.3064864612830319,-0.0027461969627472793,-0.005151729014537471,-0.005138532768251238,0.01855488914544148,-0.005309271938028856,0.0646873095169864,0.06568303463237395,0.51034869591077,-0.0017132813682748725,0.026518070151016006,,0.1639850751072909,0.058242791705489086,-0.07750976032389248,0.12691520523032943,0.0841463830016734,0.048447936702971844,0.09897774975729692,0.09204833873517222,-0.029242977231506265,0.022122486944756332,0.13527092979415695,0.16577710783177113,0.07341008592696546,0.038226418344438365,0.043747355293468265,0.09765874694703129,0.1371648710766864,0.05501418475943236,0.10483636381682215,0.030770641111716315,0.11379253960813354,0.19186764703308606,0.12686138997138158,0.03941227259152555,0.04018522750157581,0.039089849177297506,0.03874595046239091,0.03839051424498668,0.03816113708721681,0.05335927614197991,0.0390167030173447,0.3323975469041866,0.10468162075250423,0.06294545070993963,0.31789866861866145,0.09191337702978251,0.05201198619776455,0.08847790736665173,0.007237506997332897,-0.14869326316103731,0.12184342673270078,-0.12194903377042193,0.03186597962977116,0.09576954466532968
LombardCategoryID,0.42692699753115193,0.08492894193280355,0.13181111901079667,0.04156807660921955,,0.8493830128269796,1.0,0.05833300135409979,-0.0223685829769542,-0.23956045028683426,0.006145615740942432,0.004394310243918824,0.004505626558199369,0.016827464404844297,0.004327092007153564,0.06438049765110283,0.06534900554047401,0.4482543025501151,-0.00301099524585731,0.02855576459262107,,0.12760888411707935,0.05833300135409979,-0.07505607506234568,0.12415320561250451,0.07196160265808155,0.05186546271565318,0.09596948496806987,0.0832015790162212,-0.00913172632000942,0.04122028441975712,0.11002574552219443,0.15633537072394701,0.0677929429716209,0.02953733189054573,0.033074466270920325,0.09304976207410647,0.12751693624065435,0.057738048812346766,0.08369385987962678,0.026981691855958594,0.09578030707352474,0.16523806338676886,0.1074588004368121,0.0437666200098862,0.045464234242019876,0.044647901683651146,0.04524114422280804,0.044102708213882846,0.044154487332934644,0.04772044893721521,0.02927103944119271,0.30609595124625105,0.10183372767090564,0.06700013770195157,0.27433111006714445,0.085577058279604,0.05124816161591942,0.08207301701843793,0.013239004053161125,-0.13066398862936182,0.11706243138135208,-0.11716223070463827,0.0406003223522135,0.09047700575865168
AmountZB,0.010617131436814739,0.04105024183283089,0.12201061734881571,0.04719290511023766,,0.058242791705489086,0.05833300135409979,1.0,0.38997745204334794,0.0003355022151776355,0.9402584110417141,0.9512191319134284,0.9544799287591573,0.2742093747726864,0.9535575708648497,0.9868052268322528,0.9844854248753172,0.13230524472043534,0.17959616435467038,0.10301827829165733,,0.011127450896502803,1.0,-0.06700618002346961,0.05317990528314479,-0.01588792340274791,0.32457739737987806,0.5452201341911853,0.13458348661806827,0.0707718832993145,0.13613274070630804,0.11868196069862479,0.051708886403269524,0.3410977790983832,0.02120580843085703,0.014461033669699315,-0.001273073436870009,0.020676339172012132,0.12325178595706343,0.09636232292961308,0.0013407062111299313,0.010449505021760726,0.07579031425521218,-0.017993002150997896,0.49521413006201603,0.34602427563831273,0.5268763868939412,0.3497150382850295,0.528740078902799,0.3468188299508855,0.23990262575123986,0.16016859162516514,0.0866217394737715,0.544183819765601,0.4897109639869531,0.12021147644843674,0.003932981766437872,-0.019261288385405844,0.025649529134852207,0.435542492491983,0.42178374597583085,0.02626587324448243,-0.026275219485306044,0.05506975931332776,0.046647410084133846
Qty,-0.026025222603061452,0.017689518481178997,0.07878030687598649,0.014498035872906859,,-0.026589294298696886,-0.0223685829769542,0.38997745204334794,1.0,0.008316518931191402,0.3909213084649953,0.389361098227146,0.3857944426706573,0.16323398673605968,0.387442350169748,0.3690423731252152,0.368030151513596,-0.015696247294873098,0.07199812369281432,0.09458982280169381,,0.0029339374686491804,0.38997745204334794,0.003175967474892524,0.004512001227674014,-0.02386897512247459,0.14990385821298527,0.22423035965382512,0.10857442524327601,0.1605957845881743,0.09148531507600356,0.022142361466330543,-0.04030813165489756,0.07751712441020406,0.03746417751606199,0.025544734618335143,-0.018610062237478815,-0.014844722984880411,0.1355914963233223,0.027333913964467157,0.006329796563941508,-0.0006315327672937937,0.02786489132682302,-0.039482997261481995,0.19823139294436598,0.15860055040557033,0.21037335283404313,0.1609522346658105,0.21030965790465678,0.15964845489459786,0.08658498160713682,0.06702957394108654,0.006371520850779786,0.2083022676671693,0.17810245437506644,0.042974737799398914,-0.0043435361638341176,-0.012971250688838592,0.01618960008397753,0.3767078045769737,0.19404364909680727,-0.07887590327683418,0.07886834173820773,0.03034690520458526,0.028907943639200656
TermWoutGracePeriod,-0.3337116681516286,-0.017424105908009985,0.12169280196451024,0.12102157633224614,,-0.3064864612830319,-0.23956045028683426,0.0003355022151776355,0.008316518931191402,1.0,0.03562566609057002,0.03671687100542256,0.03651594415626156,0.0054214876506592236,0.03652698884770089,-0.002188369493260738,-0.0027684195038274392,-0.2539640409460844,0.010664077463912036,0.09016584659332598,,-0.39374822831255724,0.0003355022151776355,-0.06431550798542437,0.2002761791522935,-0.009956234041755144,0.016069283069735457,0.048251946912424355,-0.006896159503497526,-0.012644541921597056,0.015069335306064855,0.0007595548524133162,0.1672213591571648,0.013669333758033463,0.023953202076704296,0.029210780323304094,0.16518956133842105,0.1467351332351779,-0.007773573299310512,-0.0021945262606921172,-0.010200237630274674,-0.0414296519589165,0.08077636112975448,-0.025947809031808638,0.08447762521478738,0.02193719926236816,0.09062901991916635,0.023087956130063553,0.08965388808413471,0.022533753645872685,0.029205590652933235,-0.00036299856840452203,0.057187994166752784,0.04526869929652529,0.03640573777009438,0.032626555816137666,0.14204781008993786,0.15940171076715173,0.1048768979672847,0.06479103511678304,0.08687547346640973,0.07337269082227338,-0.07336646331135163,0.11457268862800064,-0.012231669653297908
WeightGross,-0.02541674882613376,0.030730373260131134,0.08896102412009478,0.040767556414090585,,-0.0027461969627472793,0.006145615740942432,0.9402584110417141,0.3909213084649953,0.03562566609057002,1.0,0.9859768321291186,0.9825040354180111,0.37530269038325453,0.981582589737752,0.9522323281925515,0.9539185772553664,0.022769099839458035,0.11307751400488625,0.08849688511960718,,0.0034745386113119183,0.9402584110417141,-0.06465094766207977,0.037104177394581606,-0.022924803774093186,0.28244186609843697,0.5167796565395689,0.11604281206376768,0.07032159884536981,0.11224063391470597,0.09580541403030016,0.03491080959772303,0.3072523981705337,0.013651631811096823,0.005186507636808577,-0.01099220499564179,0.005626955718833375,0.11008658713444879,0.07791741244084997,-0.0011507176140804808,0.0005874593482249632,0.046828452111145905,-0.030752696922678603,0.5021880057274487,0.313329144765637,0.5319032703384403,0.3164946077291124,0.5319728768930794,0.3131434524365908,0.2516321296008582,0.14539322495246187,0.04563859421274747,0.5228468204046797,0.46387792786685583,0.08344474633027163,-0.007944912977171549,-0.0259101225971316,0.014241228077776554,0.37213232448161926,0.42741801315349764,0.03300362106671927,-0.03300525158869545,0.05335620845882047,0.048503243002618504
WeightNet,-0.02699960272000145,0.0275230027678638,0.09014985307829639,0.041100162568656375,,-0.005151729014537471,0.004394310243918824,0.9512191319134284,0.389361098227146,0.03671687100542256,0.9859768321291186,1.0,0.996504513847669,0.26788067420176165,0.9955674399149749,0.9636800440927208,0.9657268287946026,0.040155347985812495,0.10895795200339937,0.08820973463101703,,0.0014397531535191924,0.9512191319134284,-0.06389291417192437,0.03640513501145334,-0.023030800060945694,0.2839099751836601,0.5181074669046838,0.11657804638088404,0.07432137960985928,0.11751401971640661,0.09363345001518508,0.0328900708136926,0.3059661507640423,0.014305149158953949,0.005543838037701272,-0.011243125549755591,0.0051762015852942714,0.112280784791467,0.07592571261018459,-0.0009801902505186338,0.00027610355318086205,0.04445770012360608,-0.031163396396240158,0.5010423712570339,0.31468399579941053,0.5351063103783179,0.31905436320806146,0.5348587021640139,0.31542377354375134,0.22257337872679372,0.13460668226128578,0.04645380013115075,0.5245076067269444,0.46644072230295547,0.08330221774070358,-0.00791853854019432,-0.025786499455462287,0.014456589340188872,0.37629943609663014,0.4287136042642926,0.029087841236384367,-0.02908879213693582,0.05277559485410483,0.04622111589879158
WeightNet999,-0.027261012763983565,0.028626724669617645,0.09000856401745494,0.041024469509658865,,-0.005138532768251238,0.004505626558199369,0.9544799287591573,0.3857944426706573,0.03651594415626156,0.9825040354180111,0.996504513847669,1.0,0.26672893483417875,0.9990430478398701,0.9656989154927722,0.9673802120578838,0.048826210845495766,0.1149794364868571,0.1129899379223903,,0.001546716279262594,0.9544799287591573,-0.06403424241050679,0.036945701380161546,-0.023277898488413405,0.285868318423399,0.5192384209345926,0.11724934800426433,0.07397892734125107,0.11702966304466485,0.09471834344775946,0.0333988134798703,0.3077081327461632,0.014460585766951447,0.005775553756918514,-0.011110435743298895,0.00539503296228626,0.11263616087279266,0.07676528923407343,-0.0010220160171562664,0.0006159996652064294,0.044957925443778655,-0.031190492207195802,0.5002869769852512,0.31629062758260973,0.534050411493112,0.32054013116732827,0.5351793502450032,0.3172943403765542,0.2244251770716196,0.13684711809040684,0.048157227127132045,0.525033252424029,0.46766474692274645,0.08372528548191527,-0.00771632603152307,-0.025653254478120426,0.01460199779161089,0.3808376243741822,0.4317634882117934,0.02895504894356948,-0.028955772918745168,0.05276506861492616,0.045660476411992605
WeightNotBrilliant,0.003384736672095209,0.03770576969198885,0.025342451047025413,0.013581738452832962,,0.01855488914544148,0.016827464404844297,0.2742093747726864,0.16323398673605968,0.0054214876506592236,0.37530269038325453,0.26788067420176165,0.26672893483417875,1.0,0.2664977691243352,0.27498466445177694,0.2732232959247861,-0.1291867207734352,0.06887955849861706,0.036700243705549584,,0.017776479978849593,0.2742093747726864,-0.03105951928554812,0.019696127037452243,-0.007677725902145714,0.09690782684301824,0.18824566705564488,0.040449485048412406,-0.004662669621552139,0.0013159372538521247,0.054143625194317056,0.030307544484818198,0.12828185927170302,0.0003571848830716057,-0.0005073638481592313,-0.0014197113277954459,0.0065882288099070535,0.025000410582881886,0.04580327031378923,-0.00173121598555609,0.002610148589201255,0.0373843900829936,-0.008218336092279574,0.20254433485420628,0.109771328625047,0.17938416736998117,0.10142379846476281,0.18190751653642728,0.10234238229055356,0.32806608557076306,0.14154779430398895,0.011726958284001837,0.18796471099749262,0.15812996070590915,0.033823248757428134,-0.0023694230454085895,-0.010088601946049838,0.004475668595870007,0.11003881107837157,0.15391768346568732,0.0436219683464492,-0.04362806498972126,0.02504844688840892,0.03598022449813731
WeightNet999Calc,-0.027289400863442316,0.028013148813599564,0.09004273709953761,0.04110830557569022,,-0.005309271938028856,0.004327092007153564,0.9535575708648497,0.387442350169748,0.03652698884770089,0.981582589737752,0.9955674399149749,0.9990430478398701,0.2664977691243352,1.0,0.9647337845318086,0.9664184124654184,0.04872662039417162,0.11478559860788307,0.11334083431243067,,0.0013454731509957706,0.9535575708648497,-0.06387957662286735,0.03675221661830161,-0.023314606006272397,0.28549790831460536,0.5186132505425193,0.11719525702989586,0.07430633915303288,0.11710347947388171,0.09441798274082777,0.03305877883624201,0.30717201616817275,0.014471684053218433,0.005793374308688435,-0.011244417951262286,0.0052135041279564205,0.11269640579587714,0.07657408840562267,-0.0010427539265702374,0.0005903752825960643,0.0448276134335788,-0.031222592227124205,0.49966001020957623,0.3159144837841646,0.5333990469428878,0.3201815025566088,0.5345231878244685,0.31692380797870817,0.2240501196166933,0.13646175752651704,0.0479267359814659,0.5243774211491504,0.46714020049932053,0.08345788494434489,-0.00783175932926089,-0.025735708577119973,0.014454470569355934,0.38082534096929826,0.4311701201443979,0.02857855920731773,-0.028579394855007205,0.05263254999013957,0.04555805511876373
Cost,0.012188159022738511,0.04072871478225535,0.12628426375219817,0.050405161208771275,,0.0646873095169864,0.06438049765110283,0.9868052268322528,0.3690423731252152,-0.002188369493260738,0.9522323281925515,0.9636800440927208,0.9656989154927722,0.27498466445177694,0.9647337845318086,1.0,0.9980335219484819,0.14057797190234897,0.17599676603760156,0.10079731885703759,,0.011340382977709288,0.9868052268322528,-0.06823719368057463,0.05789967018606205,-0.013447117798194089,0.32497270191804906,0.5526992998305139,0.1341732108861021,0.06523235211834601,0.13072407116627796,0.12210833138131849,0.06059435270472237,0.35087004076025585,0.019814652215864228,0.012744790388304422,0.0031719513153263424,0.026437117553357974,0.12061417911249056,0.09922617921533886,0.001350275443207236,0.010162833329959278,0.07870404292510148,-0.015075246042241273,0.5096159152388116,0.34918773729294356,0.542457030495086,0.3529395233080316,0.5438811639965639,0.3498219464271421,0.24429015067844817,0.16121481825559922,0.09182436161583023,0.5586958363053927,0.5000684109369916,0.12256950283265776,0.007384489850255375,-0.016959019828689463,0.028885047769519667,0.42014957446919243,0.41197141817827293,0.04036377169007953,-0.040372609585550175,0.059291424935485504,0.0546539922854746
CostMetal,0.013051755669758814,0.039822546316076075,0.12630731618933758,0.0499912404134644,,0.06568303463237395,0.06534900554047401,0.9844854248753172,0.368030151513596,-0.0027684195038274392,0.9539185772553664,0.9657268287946026,0.9673802120578838,0.2732232959247861,0.9664184124654184,0.9980335219484819,1.0,0.12451326413592362,0.11551492388413506,0.09829216374233135,,0.011328108324493581,0.9844854248753172,-0.06723955963341316,0.05711410235044781,-0.012821515754799591,0.32334502660591546,0.5491954380398071,0.1324773496534451,0.06575520477828718,0.1316390957709231,0.11961471460573872,0.059640286402699326,0.34819684662405453,0.019531428932566118,0.012412449184200331,0.003290178716445103,0.026399056499177845,0.11965788864030155,0.09719287330166437,0.0014203069165286918,0.008887385292899902,0.07767539807410424,-0.014499175187478345,0.5079165921037011,0.34814460747580067,0.5409958812247828,0.35224942384469765,0.5421459409565779,0.34893010520277085,0.2401172369155374,0.15706103376330652,0.08848768457705032,0.5555811904334311,0.4986425182846622,0.12182148581420839,0.007577183133517373,-0.01661342225438982,0.028934434055203732,0.419611555666045,0.40794002502036963,0.03910375001923425,-0.039112934371775106,0.05848511686364138,0.05400539054658925
CostPerGram,0.2951460131117095,0.12607372461119504,0.29731757796281205,0.11539368558484482,,0.51034869591077,0.4482543025501151,0.13230524472043534,-0.015696247294873098,-0.2539640409460844,0.022769099839458035,0.040155347985812495,0.048826210845495766,-0.1291867207734352,0.04872662039417162,0.14057797190234897,0.12451326413592362,1.0,0.2713247060314379,0.32925335493296154,,0.09066728539752578,0.13230524472043534,-0.031021645570576895,0.19546515488726596,0.0732770115070063,0.07811030119529894,0.16415214940042774,0.1271941080837175,-0.01242429501532213,0.02846385360195466,0.16787134388323252,0.23481430712423831,0.10891110625929268,0.061120703095058605,0.06801379377939656,0.1422514925103422,0.20084135601809966,0.08961439541230692,0.12733849203413591,0.02360626215030541,0.07247008684001278,0.28008566899061993,0.13043186141228863,0.10406720550166128,0.07558451135843419,0.11354469326746384,0.07522920512050542,0.11552473349353087,0.0747322084827334,0.05673335747131633,0.04816536376292713,0.4019332177566951,0.16809029808329784,0.11936148707889403,0.2923871523585156,0.14603880590185064,0.08569708833584551,0.14202235907461463,0.030021600012522496,0.017006145621320957,0.14285147802350204,-0.14290937108776203,0.10190727185990911,0.1085659179678712
CostInsert,-0.007979304257070446,0.021946387787541138,0.022459931019750374,0.01391440267306589,,-0.0017132813682748725,-0.00301099524585731,0.17959616435467038,0.07199812369281432,0.010664077463912036,0.11307751400488625,0.10895795200339937,0.1149794364868571,0.06887955849861706,0.11478559860788307,0.17599676603760156,0.11551492388413506,0.2713247060314379,1.0,0.07102067544073393,,0.0036782295127633946,0.17959616435467038,-0.023697016694717576,0.02167891314567304,-0.010327097542013155,0.0743740941812527,0.13667090411936256,0.048225712743364665,0.0016071711523589186,0.004729624793377666,0.059285675177294474,0.026268241034666472,0.09495576188224579,0.0088693890134108,0.008694924337171235,0.0014470945417301706,0.007929329735861648,0.03409143737796684,0.048354547151954995,-0.0004745444205097636,0.022433015953605556,0.03274614088459707,-0.00942924699702863,0.10240710972197953,0.06868286900703215,0.10347682497069033,0.06356635190955157,0.10804505730820803,0.06634179727483208,0.10228651293528566,0.09071546429571173,0.07002114085552821,0.13149063243300468,0.0964311816137684,0.0328206654968723,0.0012309363449166716,-0.005462831234108205,0.006278004354356766,0.07085812727420443,0.12681893417796772,0.025241288635814874,-0.025237325519482906,0.020498408047436707,0.019297661578252006
Proba,-0.002206177584362325,0.05328703635416214,0.020011233331717063,0.008362486650150729,,0.026518070151016006,0.02855576459262107,0.10301827829165733,0.09458982280169381,0.09016584659332598,0.08849688511960718,0.08820973463101703,0.1129899379223903,0.036700243705549584,0.11334083431243067,0.10079731885703759,0.09829216374233135,0.32925335493296154,0.07102067544073393,1.0,,0.025023683950109114,0.10301827829165733,0.0055609333111493395,0.010932570068043787,-0.010001669389813703,0.03195607520195339,0.07876803562352425,0.018660402288687965,0.012504530253802807,0.00858756676402793,0.014440863614403792,0.008068941864671178,0.03440087486128657,0.003570939228051223,0.002084209178988411,0.0023630336737547625,0.009587729066599859,0.022282668630560797,0.005952750010373111,0.0030680896553554747,0.010236429292562077,0.030459086816388845,-0.008246548640171774,0.07452038930370994,0.03709847239997872,0.0780862216544897,0.03655730297474106,0.08470211561268642,0.03760594003138652,0.049990614061546736,0.02713248254961463,0.08914215517091338,0.07708085938290975,0.05859576902900582,0.022749961932231357,0.010102273666735433,0.0028672361185433995,0.012979028031795159,0.04100125455194923,0.06552551561048188,-0.003149344551443716,0.0031504638769993543,0.016390840459482314,0.01333092463725398
PromoActionID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PromotionID,0.13548446900260147,0.29781399633526584,-0.27281655224104806,-0.24220268553301347,,0.1639850751072909,0.12760888411707935,0.011127450896502803,0.0029339374686491804,-0.39374822831255724,0.0034745386113119183,0.0014397531535191924,0.001546716279262594,0.017776479978849593,0.0013454731509957706,0.011340382977709288,0.011328108324493581,0.09066728539752578,0.0036782295127633946,0.025023683950109114,,1.0,0.011127450896502803,-0.2426848279100621,-0.13827578977892466,-0.038517174585005406,0.010640583799372898,-0.021748521085219793,0.04487325686665333,-0.027483874243870395,-0.017836561464221582,0.07574872192092198,-0.05522722328736816,0.024855346162018285,-0.06390649867545066,-0.07602377956462658,-0.15873103323689092,-0.12908847249200286,0.01332503486061283,0.07057464936072236,0.006774963036425841,0.016767433488515247,-0.007731739442726019,-0.024174553904767474,-0.03879689372050219,0.006948116560357155,-0.04384166734570997,0.00363641240755237,-0.04243886612194544,0.004916116789701702,0.013293076509807565,0.039488436480925836,-0.05682012716556738,-0.020124862919881074,-0.01095278181780824,0.00423258454052102,-0.1620780515063512,-0.18831145701774404,-0.09072996957220891,-0.027339912468487566,-0.03671492657712316,0.06132019545476093,-0.06130758575113351,-0.021965651895123568,0.04961540621836942
